iter	Logloss
0	0.6886440781
1	0.6844046623
2	0.6805631308
3	0.6768358471
4	0.6732570917
5	0.6700318074
6	0.6667917109
7	0.6634935796
8	0.6604548576
9	0.6570624233
10	0.6538272096
11	0.6518228761
12	0.6498690957
13	0.6472851467
14	0.64509079
15	0.6426813209
16	0.6405588978
17	0.6382887902
18	0.6358974617
19	0.6339848565
20	0.6319912201
21	0.6300814871
22	0.6283031224
23	0.6266084626
24	0.6250597305
25	0.6236547276
26	0.6220529324
27	0.6208991242
28	0.6196163458
29	0.6182908581
30	0.6170621604
31	0.6157344775
32	0.6143523444
33	0.61292845
34	0.6116461117
35	0.6100292529
36	0.6088876018
37	0.6080889039
38	0.6067438789
39	0.6053377021
40	0.6046117714
41	0.603678915
42	0.6029472861
43	0.6020738758
44	0.6009502117
45	0.599895011
46	0.5989596709
47	0.5980724811
48	0.5971285348
49	0.5962036158
50	0.5952576171
51	0.5943536223
52	0.593759648
53	0.5929031734
54	0.5921661511
55	0.5915212068
56	0.5908835271
57	0.5903495232
58	0.5894528203
59	0.588866742
60	0.5879470765
61	0.5871262541
62	0.5865740695
63	0.5859477007
64	0.5850806173
65	0.5846001002
66	0.5839310208
67	0.5832033842
68	0.5825433744
69	0.5820427394
70	0.5813790894
71	0.5806965029
72	0.5800168452
73	0.5794015313
74	0.5789262572
75	0.5782944005
76	0.5778126269
77	0.5772060276
78	0.5766841499
79	0.5760265572
80	0.5752951158
81	0.5747038574
82	0.5741872243
83	0.5735689999
84	0.5730946421
85	0.5724674426
86	0.5716884806
87	0.5709645709
88	0.5706974017
89	0.5701138207
90	0.5695178436
91	0.568888678
92	0.5684780239
93	0.5676340799
94	0.5669390886
95	0.566615805
96	0.5661026619
97	0.5657097504
98	0.5651875695
99	0.5645438282
100	0.5638855883
101	0.5634269883
102	0.5629872891
103	0.5625413163
104	0.5619967975
105	0.5616600494
106	0.5612299203
107	0.560743848
108	0.5602669388
109	0.5597628086
110	0.5593942791
111	0.5590938097
112	0.5586991481
113	0.5583147462
114	0.5579078786
115	0.5574255696
116	0.5569486979
117	0.5565166889
118	0.5561762922
119	0.5557703106
120	0.555340958
121	0.5549975402
122	0.5545862742
123	0.5540985514
124	0.5535117463
125	0.5529644815
126	0.552630903
127	0.5523119237
128	0.5520085242
129	0.5516209318
130	0.5511095832
131	0.5507658043
132	0.5504549296
133	0.5501350966
134	0.5498640452
135	0.5495512187
136	0.5491675361
137	0.5486325098
138	0.5483301723
139	0.5479961454
140	0.5475772983
141	0.5472021517
142	0.5469504835
143	0.5466715629
144	0.5462064186
145	0.5457731295
146	0.5454244357
147	0.5452381716
148	0.5450236469
149	0.5445195605
150	0.5442044265
151	0.5438664759
152	0.5436063035
153	0.5432010134
154	0.5427549724
155	0.5423419082
156	0.5418831582
157	0.5416491679
158	0.5413638783
159	0.5410075609
160	0.5406143921
161	0.5403169655
162	0.5399715109
163	0.5396591777
164	0.5393254535
165	0.5388559173
166	0.5383446354
167	0.5378212969
168	0.5374096744
169	0.5372199653
170	0.5367262258
171	0.5364235325
